Id,name,area_id,outline,address,postalcode,
1,NEW YORK JOE EXCHANGE,1,"NEW YORK JOE EXCHANGEは、新しいスタイルのリサイクルショップです。不要になった衣類・靴・鞄・アクセサリーの処分に困り、今までゴミとして捨てていた方…。買取に出したくても、ハードルの高い査定に売る事を諦め、タンスの肥やしにされている方…。ブランド・ノーブランド、年代も問わずに幅広い間口より買取を致しますので、店内には様々なスタイルの商品が多数取り揃います。
また、店内商品の全てが10,000円以下。平均商品価格は2,000円となります。ぜひ足を運んでみてください！",東京都世田谷区北沢３丁目２６−４,155-0031,
2,フラミンゴ下北沢マバタキ店,1,有名古着屋「フラミンゴ」のチェーン店です。商品の種類は方で小物雑貨もあります。学生や若者に人気なお店です。,東京都世田谷区北沢２丁目-２６-２１ エルフォアシティ下北沢 1F,155-0031,
3,レディース古着屋 RAINBOW 下北沢店,1,レディース専門のヴィンテージ・レトロ古着アイテムを取り扱っているお店です。女性の方で古着屋にあまり行ったことがないかたにも入りやすいお店になっています。,東京都世田谷区北沢２丁目３６−２,155-0031,
4,古着屋 Ayne 下北沢店,1,下北沢の隠れ家的な古着屋です。店内や店外の通りもおしゃれな雰囲気となっています。,東京都世田谷区北沢２丁目７−２ 中瀬ビル 1階,155-0031,
5,encore（アンコール）,2,フランスを中心としたヨーロッパ各国のワークウェアをメインに取り扱っています。シンプルなデザインの古着も多くおしゃれかつ着回しのできるアイテムを多く取り揃えられています。,東京都杉並区高円寺南３丁目５６−１−１１０,166-0003,
6,チャート,2,新しめの古着やレディースの取り扱いもありユニセックスな商品構成となっています。このお店の特徴は状態のいい革靴や革製品が置いてあり物量もある為みてて飽きることはないでしょう！,東京都杉並区高円寺南４丁目３０−８,166-0003,
7,MECHA（メチャ）,2,誰にでも入りやすいようにジャンルはさまざまな物が置いてあり、古着をあまり着ない方にも足を運んでもらいたいお店です。商品は全てアメリカ買い付けで1点1点セレクトされている。,東京都杉並区高円寺南４丁目２３-７ 大国屋ビル 202 MECHA,166-0003,
8,SO（ソウ）,2,鮮やかなグリーンの壁が特徴のお店。アメリカヴィンテージを中心にアウトドアとミリタリーを絶妙に取り入れた商品構成とリーズナブルな値段が強み。,東京都杉並区高円寺南４丁目３０−５,166-0003,
9,古着屋 KINJI 原宿店,3,ラフォーレ原宿の反対側の通りの階段を降りた地下１階にあります。とにかく品揃えが多く探せば探すほど掘り出し物も見つかります。,東京都渋谷区神宮前４丁目３１−１０ YMスクエア原宿,150-0001,
10,BRING原宿店古着買取 BAZZSTORE原宿キャットストリート北ウイング店(バズストア),3,ストリートカルチャーが盛んな「裏原宿」にあり、定番人気ブランドSupremeを始めさまざまなストリートブランドの古着が置いてあります。,東京都渋谷区神宮前４丁目２６−５ 神宮前426ビル 1F,150-0001,
11,beruf原宿 - ベルーフ原宿,3,カルチャーが好きなスタッフが集まっており、古い・新しいにとらわれないアイテムをセレクト。古着以外にもブランドのセレクトやオリジナルアイテムも展開している。,東京都渋谷区神宮前６丁目１６−３ 原宿 T2 ビル 1F,150-0001,
12,サンタモニカ原宿店,3,キャットストリートにあるレディース向けの古着屋さんです。カジュアルで甘さもある大人っぽい古着がたくさんあります。,東京都渋谷区神宮前４丁目２５−５,150-0001,
13,BerBerJin（ベルベルジン）,3,原宿の老舗古着屋です。アメリカ製のものが比較的多く置いてあり西海岸の風を感じるようなお店です。,東京都渋谷区神宮前３丁目２６−１１ 原宿SHビル,150-0001,
14,突撃洋服店 渋谷店,4,モード型のジャンルが多く、ジャンルやカテゴリーに関係なくさまざまな時代のものを独自の視点でセレクトしています。,東京都渋谷区神南１丁目１４−８ 南部 ビル 2F,150-0041,
15,古着屋・ヴィンテージショップ GRACE,4,アメリカ古着のお店です。ヴィンテージからレギュラー古着、そしてリアルなアメリカを感じることができる新品のものなど幅広いラインナップです。,東京都渋谷区神南１丁目１４−１,150-0041,
16,サンタモニカ 渋谷店,4,ミリタリー型の古着に力を入れており、作成背景のあるデザインや機能性に思わず引かれる商品が数多くある。数年前から古着のスリーピングウェア（パジャマ）に力を入れておりこちらも人気です。,東京都渋谷区神宮前６丁目１２−７ B1階,150-0041,
17,qosmos,4,一風変わった雰囲気の店内には古い映画や音楽シーンに登場するようなヴィンテージウェアやアンティークグッズを世界各地に赴き買い付けを行なっております。,東京都渋谷区神南１丁目１０−７ テルス神南 5F,150-0041,
18,THE VINTAGE HOOK (ヴィンテージフック／中目黒),5,90年代のアメリカの雰囲気を漂わせるアイテムを多数揃えてあります。デッドストックやスペシャルヴィンテージを中心のため唯一無二のファッションを目指しているならぜひおすすめです。,東京都目黒区青葉台１丁目１４−２ 1F,153-0042,
19,H（アッシュ）,5,大人が通える古着屋をコンセプトとした、大人の女性が日常を楽しく素敵に演出できる洋服と小物が揃うショップです。1Fと2Fでコンセプトが違うため1つの空間に2つのお店があるような感覚を味わえます。,東京都目黒区中目黒１丁目２−１５,153-0061,
20,ジャンティーク,5,中目黒の商店街、目黒銀座通りにあるヴィンテージショップ。古着以外にもインテリアも置いてあり1800~1930年代もののアンティークアイテムに思わず長居してしまいます。,東京都目黒区上目黒２丁目２５−１３ エルレーブ中目黒,153-0051,
